RecordID	Model	ProfileID	SlotName	YawBucket90	SleepRootLocalOffset	SleepPoseYawDeg	ObjectX	ObjectY	ObjectZ	YawMinDeg	YawMaxDeg	Notes
# Optional orientation-specific sleep profile variants.
# Key: RecordID + Model + ProfileID + SlotName + YawBucket90. ObjectX/Y/Z and YawMinDeg/YawMaxDeg narrow a row to a specific placement or yaw range when one orientation bucket is too broad.
active_de_p_bed_09	meshes/f/active_de_bed_09.nif	active_de_p_bed_09	sleep_main	0	29.778,82.444,10	-90						calibrated from luce_mio_bfg_marshaxe developer-menu export; bunk-bed lower/usable slot
active_de_r_bed_20	meshes/f/active_de_bed_20.nif	active_de_r_bed_20	sleep_right	270	19.778,-82.556,12	-90						calibrated from 2026-05-19 08:10 log export_sequence latest; Briras Tyravel/right slot; yawBucket45=270
active_de_r_bed_20	meshes/f/active_de_bed_20.nif	active_de_r_bed_20	sleep_left	270	19.778,82.556,12	-90						mirrored from calibrated right slot after 2026-05-23 Gnisis Madach Tradehouse log showed missing second double-bed slot
active_de_p_bed_04	meshes/f/active_de_bed_04.nif	active_de_p_bed_04	sleep_main	180	29.778,82.444,23	-90						calibrated from 2026-05-19 10:07 log export; Ald-ruhn Ald Skar Inn; yawBucket45=180
active_de_p_bed_10	meshes/f/active_de_bed_10.nif	active_de_p_bed_10	sleep_main	180	37.778,0.444,19	-90						calibrated from 2026-05-19 10:07 log export; Ald-ruhn Ald Skar Inn; yawBucket45=180
active_com_bunk_02	meshes/f/furn_com_bunk_02.nif	active_com_bunk_02	sleep_main	180	20,14,-2	-90						calibrated from 2026-05-19 11:52 log export; bottom bunk; objectYawDeg=-180; yawBucket45=180
active_com_bunk_02	meshes/f/furn_com_bunk_02.nif	active_com_bunk_02	sleep_main	0	15,-63,-2	-90						calibrated from 2026-05-20 Lewis export; bottom bunk; objectYawDeg=0; yawBucket45=0
active_com_bunk_01	meshes/f/furn_com_bunk_01.nif	active_com_bunk_01	sleep_main	180	19.778,-4.556,65	-90						calibrated from 2026-05-22 Yakum Hairshashishi export; top bunk; objectYawDeg=177.617; yawBucket45=180; Z converted after VA sleep root normalization
